,scientific_name,locations
0,Leskeodon paisa,"[(5.69667, -75.2372), (5.696667, -75.237222), (5.66666, -75.28333), (5.66666, -75.28333), (5.66666, -75.28333), (5.66666, -75.28333), (5.66666, -75.28333), (9.61666, -83.8)]"
1,Lepidopilum wallisii,[]
2,Trichosteleum mastopomatoides,"[(5.83333, -75.25), (5.833333, -75.25), (5.833333, -75.25), (5.83, -75.25), (5.83, -75.25)]"
3,Tayloria altorum,"[(4.71944, -73.8278), (4.719444, -73.827778), (-16.714611, -64.670931), (-17.516667, -65.266667), (-17.516667, -65.266667), (-17.516667, -65.266667)]"
4,Sphagnum antioquiense,"[(6.75, -75.5), (6.75, -75.5), (6.75, -75.5), (6.75, -75.5)]"
5,Sphagnum boyacanum,"[(6.0, -72.58), (6.0, -72.58), (6.0, -72.58)]"
6,Sphagnum cleefii,"[(-25.783333, -49.7), (-22.383333, -44.683333), (5.72, -72.93), (5.72, -72.93), (5.72, -72.93)]"
7,Sphagnum diblastoides,"[(5.75, -75.233333), (5.75, -75.233333), (5.75, -75.23), (5.75, -75.23), (5.75, -75.23)]"
8,Sphagnum imperforatum,"[(6.08, -75.42), (6.08333, -75.41667), (6.08, -75.42), (6.083333, -75.416667), (6.08, -75.41), (6.091667, -75.425), (6.083333, -75.416667), (6.083333, -75.416667), (6.083333, -75.416667), (6.083333, -75.416667), (5.935556, -73.076944)]"
9,Sphagnum ornatum,"[(3.93011, -56.18989), (-14.704167, -39.602778), (-0.788333, -66.020833), (0.791667, -66.016944), (0.788611, -66.021111), (0.874722, -63.3425), (-0.319444, -66.833889), (-0.319444, -66.833889), (-0.319444, -66.833889), (-0.319444, -66.833889), (-11.633333, -40.883333), (-23.6572, -46.0317), (-11.65, -40.883333), (-11.65, -40.883333), (-11.65, -40.883333), (-11.65, -40.916667), (-11.65, -40.883333), (-22.468889, -44.446667), (-22.4689, -44.4467), (-22.468889, -44.446667), (-22.468889, -44.446667), (-3.366667, -78.333333), (-3.36666, -78.33333), (-13.25, -41.92), (5.0, -63.0), (5.0, -63.0), (5.0, -63.0), (-19.0, -43.633333), (5.766667, -66.2), (5.76667, -66.2), (0.86667, -66.08333), (0.827778, -65.983333), (0.827778, -65.983333), (0.827778, -65.983333), (0.827778, -65.983333), (0.827778, -65.983333), (0.8, -66.0), (5.266667, -60.716667), (0.7986438, -66.0014182), (0.86667, -66.08333), (0.9, -66.06667), (0.9, -66.06667), (0.86667, -66.08333), (0.9, -66.06667), (0.86667, -66.08333), (0.86667, -66.08333), (0.86667, -66.08333), (0.866667, -66.083333), (0.866667, -66.083333), (0.898641, -66.0681179), (0.8736418, -66.084718), (0.898641, -66.0681179), (0.8736418, -66.084718), (0.8736418, -66.084718), (0.88, -65.93), (3.42, -65.67), (3.83, -65.33), (3.83, -65.33), (3.42, -65.67), (3.833333, -65.333333), (3.58, -65.33), (3.58, -65.33), (3.58, -65.33), (3.58, -65.33), (3.58, -65.33), (3.58, -65.33), (3.62, -65.35), (4.6944, -64.2222), (4.775, -63.9181), (0.8, -66.0), (0.8, -66.0), (3.25, -73.916667), (3.58, -65.33), (3.58, -65.33), (3.58, -65.33)]"
10,Sphagnum santanderense,"[(6.033333, -73.2), (6.03, -73.2), (6.03, -73.2)]"
11,Neesioscyphus allionii,"[(5.3, -75.916667), (-3.466667, -78.55)]"
