,ID,scientific_name,ESTADO DE AMENAZA,locations
0,3548724,Arthonia obscurella,CR,"[(4.59806, -74.07583)]"
1,3548779,Arthonia septemlocularis,CR,"[(4.59806, -74.07583)]"
2,10800176,Ancistrosporella leucophila,CR,"[(6.98931, -73.04892), (4.0, -72.0), (6.98701, -73.04702), (5.564784, -73.912979), (2.1, -59.35), (2.1, -59.35), (2.1, -59.25), (2.1, -59.25)]"
3,10874088,Byssoloma permutans,CR,[]
4,5516240,Lecanactis proximans,CR,"[(4.0, -72.0), (4.0, -72.0), (4.645293, -74.062187), (4.645977, -74.062355), (4.63333, -74.0833)]"
5,8654330,Schismatomma leucopsarum,CR,[]
6,10706304,Bogoriella apposita,VU,"[(-9.4333, 147.35), (4.529093, -73.923117), (4.529093, -73.923117), (4.529093, -73.923117), (4.529093, -73.923117), (4.0, -72.0)]"
7,3396450,Bacidia proposita,CR,"[(10.799814, -72.905629), (10.48851, -74.176232)]"
8,8394955,Badimia vezdana,CR,[]
9,3395819,Ramalina bogotensis,CR,"[(4.683867, -74.387253), (2.395556, -75.9075), (5.349444, -74.031667), (4.633333, -74.083333)]"
10,3395240,Ramalina protensa,CR,"[(4.366667, -74.35), (4.74806, -73.97361)]"
11,7490376,Gyalideopsis chicaque,CR,"[(4.6, -74.3)]"
12,10673444,Fissurina linoana,CR,"[(10.763056, -75.14889)]"
13,829817,Graphis amaliana,EN,[]
14,829818,Graphis carmenelisana,CR,[]
15,829819,Graphis kavintuca,EN,[]
16,828115,Graphis lurizana,CR,[]
17,828116,Graphis mokanarum,CR,[]
