identificacion,nombre_cientifico,reino,filo,clase,orden,familia,genero,epiteto_especifico,estado_taxonomico,estado_de_amenaza,coordenadas
3548724,Arthonia obscurella,Fungi,Ascomycota,Arthoniomycetes,Arthoniales,Arthoniaceae,Arthonia,obscurella,Aceptado,CR,"[(4.59806, -74.07583)]"
3548779,Arthonia septemlocularis,Fungi,Ascomycota,Arthoniomycetes,Arthoniales,Arthoniaceae,Arthonia,septemlocularis,Aceptado,CR,"[(4.59806, -74.07583)]"
10800176,Ancistrosporella leucophila,Fungi,Ascomycota,Arthoniomycetes,Arthoniales,Roccellaceae,Ancistrosporella,leucophila,Aceptado,CR,"[(6.98931, -73.04892), (4.0, -72.0), (6.98701, -73.04702), (5.564784, -73.912979)]"
10874088,Byssoloma permutans,Fungi,Ascomycota,Lecanoromycetes,Lecanorales,Byssolomataceae,Byssoloma,permutans,Aceptado,CR,[]
5516240,Lecanactis proximans,Fungi,Ascomycota,Arthoniomycetes,Arthoniales,Roccellaceae,Lecanactis,proximans,Aceptado,CR,"[(4.0, -72.0), (4.0, -72.0), (4.645293, -74.062187), (4.645977, -74.062355), (4.63333, -74.0833)]"
8654330,Schismatomma leucopsarum,Fungi,Ascomycota,Arthoniomycetes,Arthoniales,Roccellaceae,Schismatomma,leucopsarum,Aceptado,CR,[]
10706304,Bogoriella apposita,Fungi,Ascomycota,Dothideomycetes,Trypetheliales,Trypetheliaceae,Bogoriella,apposita,Aceptado,VU,"[(4.529093, -73.923117), (4.529093, -73.923117), (4.529093, -73.923117), (4.529093, -73.923117), (4.0, -72.0)]"
3396450,Bacidia proposita,Fungi,Ascomycota,Lecanoromycetes,Lecanorales,Ramalinaceae,Bacidia,proposita,Aceptado,CR,"[(10.799814, -72.905629), (10.48851, -74.176232)]"
8394955,Badimia vezdana,Fungi,Ascomycota,Lecanoromycetes,Lecanorales,Ramalinaceae,Badimia,vezdana,Aceptado,CR,[]
3395819,Ramalina bogotensis,Fungi,Ascomycota,Lecanoromycetes,Lecanorales,Ramalinaceae,Ramalina,bogotensis,Aceptado,CR,"[(4.683867, -74.387253), (5.349444, -74.031667), (4.633333, -74.083333)]"
3395240,Ramalina protensa,Fungi,Ascomycota,Lecanoromycetes,Lecanorales,Ramalinaceae,Ramalina,protensa,Aceptado,CR,"[(4.366667, -74.35), (4.74806, -73.97361)]"
7490376,Gyalideopsis chicaque,Fungi,Ascomycota,Lecanoromycetes,Ostropales,Gomphillaceae,Gyalideopsis,chicaque,Aceptado,CR,"[(4.6, -74.3)]"
10673444,Fissurina linoana,Fungi,Ascomycota,Lecanoromycetes,Ostropales,Graphidaceae,Fissurina,linoana,Aceptado,CR,"[(10.763056, -75.14889)]"
829817,Graphis amaliana,Fungi,Ascomycota,Lecanoromycetes,Ostropales,Graphidaceae,Graphis,amaliana,Aceptado,EN,[]
829818,Graphis carmenelisana,Fungi,Ascomycota,Lecanoromycetes,Ostropales,Graphidaceae,Graphis,carmenelisana,Aceptado,CR,[]
829819,Graphis kavintuca,Fungi,Ascomycota,Lecanoromycetes,Ostropales,Graphidaceae,Graphis,kavintuca,Aceptado,EN,[]
828115,Graphis lurizana,Fungi,Ascomycota,Lecanoromycetes,Ostropales,Graphidaceae,Graphis,lurizana,Aceptado,CR,[]
828116,Graphis mokanarum,Fungi,Ascomycota,Lecanoromycetes,Ostropales,Graphidaceae,Graphis,mokanarum,Aceptado,CR,[]
2602041,Graphis rosalbiana,Fungi,Ascomycota,Lecanoromycetes,Ostropales,Graphidaceae,Graphis,rosalbiana,Aceptado,CR,[]
829821,Graphis santanderiana,Fungi,Ascomycota,Lecanoromycetes,Ostropales,Graphidaceae,Graphis,santanderiana,Aceptado,CR,[]
829822,Graphis solmariana,Fungi,Ascomycota,Lecanoromycetes,Ostropales,Graphidaceae,Graphis,solmariana,Aceptado,CR,[]
5261046,Myriotrema fragile,Fungi,Ascomycota,Lecanoromycetes,Ostropales,Graphidaceae,Myriotrema,fragile,Aceptado,CR,"[(6.6333, -73.9167)]"
2602670,Ocellularia auberianoides,Fungi,Ascomycota,Lecanoromycetes,Ostropales,Graphidaceae,Ocellularia,auberianoides,Aceptado,EN,"[(5.20279, -74.73755), (5.20279, -74.73755), (5.25, -74.833333)]"
2603136,Ocellularia percolumellata,Fungi,Ascomycota,Lecanoromycetes,Ostropales,Graphidaceae,Ocellularia,percolumellata,Sinónimo,EN,[]
10781635,Ocellularia umbilicatoides,Fungi,Ascomycota,Lecanoromycetes,Ostropales,Graphidaceae,Ocellularia,umbilicatoides,Aceptado,CR,[]
10673211,Ocellularia usnicolor,Fungi,Ascomycota,Lecanoromycetes,Ostropales,Graphidaceae,Ocellularia,usnicolor,Aceptado,CR,[]
166184462,Phaeographina cabbalistica,Fungi,Ascomycota,Lecanoromycetes,Ostropales,Graphidaceae,Phaeographina,cabbalistica,Aceptado,CR,[]
10677261,Phaeographis dividens,Fungi,Ascomycota,Lecanoromycetes,Ostropales,Graphidaceae,Phaeographis,dividens,Aceptado,CR,"[(4.33833, -74.36396), (4.0, -72.0)]"
10848900,Phaeographis galeanoae,Fungi,Ascomycota,Lecanoromycetes,Ostropales,Graphidaceae,Phaeographis,galeanoae,Aceptado,CR,"[(10.763056, -75.14889), (10.739445, -75.02334)]"
3418619,Phaeographis leucocheila,Fungi,Ascomycota,Lecanoromycetes,Ostropales,Graphidaceae,Phaeographis,leucocheila,Aceptado,CR,"[(5.01667, -74.4667), (5.01667, -74.4667)]"
3415868,Platythecium serpentinellum,Fungi,Ascomycota,Lecanoromycetes,Ostropales,Graphidaceae,Platythecium,serpentinellum,Aceptado,CR,"[(4.0, -72.0)]"
2602604,Redingeria glyphica,Fungi,Ascomycota,Lecanoromycetes,Ostropales,Graphidaceae,Redingeria,glyphica,Aceptado,CR,"[(7.271025, -73.89279), (7.271025, -73.89279), (7.060267, -73.667178), (7.056291, -73.659298), (7.056291, -73.659298), (7.056291, -73.659298), (7.105147, -73.622322), (7.074355, -73.667537), (7.074355, -73.667537), (7.074355, -73.667537), (7.074355, -73.667537), (6.954181, -73.569768), (6.954181, -73.569768), (6.954181, -73.569768), (6.990322, -73.536816), (7.02377, -73.546615), (7.02377, -73.546615), (7.029978, -73.551423), (7.029978, -73.551423), (7.029978, -73.551423), (7.049786, -73.581802), (7.049786, -73.581802), (7.049786, -73.581802), (7.062177, -73.576657), (7.062177, -73.576657), (7.062177, -73.576657), (7.062177, -73.576657), (7.078374, -73.578649), (7.078374, -73.578649), (7.078374, -73.578649), (7.078374, -73.578649), (7.115273, -73.553589), (7.12188, -73.542918), (7.122339, -73.541487), (7.122339, -73.541487), (7.122339, -73.541487), (6.977576, -73.581127), (6.977576, -73.581127), (6.977576, -73.581127), (6.98115, -73.583168), (6.996799, -73.598609), (6.996799, -73.598609), (6.996799, -73.598609), (7.114298, -73.596624), (7.114298, -73.596624), (7.114298, -73.596624), (7.075965, -73.647677), (6.902255, -73.598099), (6.89721, -73.589219), (6.89721, -73.589219), (6.89721, -73.589219), (6.89721, -73.589219), (6.89721, -73.589219), (7.038414, -73.821468), (6.941173, -73.676657), (6.837297, -73.824317), (6.837297, -73.824317), (6.837297, -73.824317), (6.833257, -73.779682), (6.792357, -73.807968), (6.868437, -73.820953), (6.868437, -73.820953), (6.868437, -73.820953), (6.838107, -73.684243), (6.874816, -73.703313), (6.890168, -73.678817), (6.993702, -73.691843), (6.993702, -73.691843), (6.993702, -73.691843), (7.003096, -73.629734), (6.756638, -73.789073), (6.756638, -73.789073), (6.756638, -73.789073), (6.758551, -73.78236), (6.994934, -73.683851), (6.799953, -73.808474), (6.889285, -73.783059), (6.889285, -73.783059), (6.889411, -73.782398), (6.889411, -73.782398), (6.888407, -73.782435), (6.978345, -73.81836), (6.904299, -73.687528), (7.060072, -73.545687), (7.060072, -73.545687), (7.060072, -73.545687), (7.120183, -73.545409), (7.120183, -73.545409), (6.73089, -73.668574), (6.73089, -73.668574), (6.744766, -73.663895), (6.762891, -73.767641), (6.762891, -73.767641), (6.762891, -73.767641), (6.762891, -73.767641), (6.762891, -73.767641), (7.023632, -73.792948), (5.0501, -74.54996), (5.00769, -74.47397), (4.0, -72.0), (4.0, -72.0), (5.016667, -74.466667)]"
3415915,Thalloloma haemographum,Fungi,Ascomycota,Lecanoromycetes,Ostropales,Graphidaceae,Thalloloma,haemographum,Aceptado,CR,"[(4.59805, -74.07583), (4.63333, -74.0833)]"
2601727,Thelotrema conveniens,Fungi,Ascomycota,Lecanoromycetes,Ostropales,Graphidaceae,Thelotrema,conveniens,Aceptado,EN,"[(5.3775, -74.71812), (6.8167, -75.5), (4.61663, -74.34997)]"
166184541,Thelotrema leucocarpoides,Fungi,Ascomycota,Lecanoromycetes,Ostropales,Graphidaceae,Thelotrema,leucocarpoides,Aceptado,CR,[]
166184572,Thelotrema sphinctrinellum,Fungi,Ascomycota,Lecanoromycetes,Ostropales,Graphidaceae,Thelotrema,sphinctrinellum,Aceptado,CR,[]
10784692,Aspidothelium silverstonei,Fungi,Ascomycota,Lecanoromycetes,Ostropales,Thelenellaceae,Aspidothelium,silverstonei,Aceptado,CR,[]
2600937,Leptogium inversum,Fungi,Ascomycota,Lecanoromycetes,Peltigerales,Collemataceae,Leptogium,inversum,Aceptado,VU,[]
9808160,Lobariella angustata,Fungi,Ascomycota,Lecanoromycetes,Peltigerales,Lobariaceae,Lobariella,angustata,Aceptado,VU,"[(4.18775, -72.6445)]"
9708115,Lobariella ecorticata,Fungi,Ascomycota,Lecanoromycetes,Peltigerales,Lobariaceae,Lobariella,ecorticata,Aceptado,CR,[]
9646853,Lobariella flavomedullosa,Fungi,Ascomycota,Lecanoromycetes,Peltigerales,Lobariaceae,Lobariella,flavomedullosa,Aceptado,VU,"[(4.18775, -72.6445)]"
9681125,Lobariella parmelioides,Fungi,Ascomycota,Lecanoromycetes,Peltigerales,Lobariaceae,Lobariella,parmelioides,Aceptado,EN,"[(4.18775, -72.6445)]"
9724173,Lobariella pseudocrenulata,Fungi,Ascomycota,Lecanoromycetes,Peltigerales,Lobariaceae,Lobariella,pseudocrenulata,Aceptado,EN,[]
9720008,Lobariella reticulata,Fungi,Ascomycota,Lecanoromycetes,Peltigerales,Lobariaceae,Lobariella,reticulata,Aceptado,EN,"[(5.491956, -73.41845), (4.18775, -72.6445)]"
5477276,Sticta peltigerella,Fungi,Ascomycota,Lecanoromycetes,Peltigerales,Lobariaceae,Sticta,peltigerella,Aceptado,VU,"[(4.7667, -74.6833), (4.9, -74.3), (4.9, -74.3), (4.9, -74.3), (4.0, -72.0), (4.59805, -74.07583)]"
10895412,Sticta rubropruinosa,Fungi,Ascomycota,Lecanoromycetes,Peltigerales,Lobariaceae,Sticta,rubropruinosa,Aceptado,CR,[]
10870093,Sticta silverstonii,Fungi,Ascomycota,Lecanoromycetes,Peltigerales,Lobariaceae,Sticta,silverstonii,Aceptado,CR,[]
9819597,Sticta tunjensis,Fungi,Ascomycota,Lecanoromycetes,Peltigerales,Lobariaceae,Sticta,tunjensis,Aceptado,VU,"[(5.800235, -75.692597), (5.797062, -75.70889), (4.18775, -72.6445)]"
3411678,Pertusaria confundens,Fungi,Ascomycota,Lecanoromycetes,Pertusariales,Pertusariaceae,Pertusaria,confundens,Aceptado,EN,"[(4.69825, -73.75088), (4.59805, -74.07583), (4.0, -72.0), (4.0, -72.0), (4.588755, -74.065804), (4.588755, -74.065804)]"
3411526,Pertusaria thelocarpoides,Fungi,Ascomycota,Lecanoromycetes,Pertusariales,Pertusariaceae,Pertusaria,thelocarpoides,Aceptado,CR,"[(8.555, -71.0833), (5.0167, -74.2167), (4.6333, -74.75), (4.61663, -74.34997)]"
3430578,Caloplaca conjungens,Fungi,Ascomycota,Lecanoromycetes,Teloschistales,Teloschistaceae,Caloplaca,conjungens,Aceptado,CR,[]
9714506,Cora accipiter,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Hygrophoraceae,Cora,accipiter,Aceptado,EN,[]
9747529,Cora arachnodavidea,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Hygrophoraceae,Cora,arachnodavidea,Aceptado,EN,[]
9798248,Cora arcabucana,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Hygrophoraceae,Cora,arcabucana,Aceptado,CR,[]
9755425,Cora aturucoa,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Hygrophoraceae,Cora,aturucoa,Aceptado,CR,[]
9715924,Cora barbifera,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Hygrophoraceae,Cora,barbifera,Aceptado,CR,[]
8226242,Cora byssoidea,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Hygrophoraceae,Cora,byssoidea,Aceptado,CR,"[(4.715602, -73.289429), (4.74895, -73.237613)]"
8382898,Cora casanarensis,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Hygrophoraceae,Cora,casanarensis,Aceptado,VU,[]
9647299,Cora corelleslia,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Hygrophoraceae,Cora,corelleslia,Aceptado,EN,[]
9750769,Cora davibogotana,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Hygrophoraceae,Cora,davibogotana,Aceptado,EN,[]
9791942,Cora davicrinita,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Hygrophoraceae,Cora,davicrinita,Aceptado,VU,[]
9765776,Cora davidia,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Hygrophoraceae,Cora,davidia,Aceptado,VU,[]
8073680,Cora fimbriata,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Hygrophoraceae,Cora,fimbriata,Aceptado,EN,[]
9673507,Cora gigantea,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Hygrophoraceae,Cora,gigantea,Aceptado,EN,[]
9719088,Cora hafecesweorthensis,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Hygrophoraceae,Cora,hafecesweorthensis,Aceptado,CR,[]
7622921,Cora hirsuta,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Hygrophoraceae,Cora,hirsuta,Aceptado,CR,[]
8257450,Cora inversa,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Hygrophoraceae,Cora,inversa,Aceptado,VU,"[(4.18775, -72.6445)]"
9647630,Cora leslactuca,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Hygrophoraceae,Cora,leslactuca,Aceptado,CR,[]
9692519,Cora pastorum,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Hygrophoraceae,Cora,pastorum,Aceptado,CR,[]
9809159,Cora pikynasa,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Hygrophoraceae,Cora,pikynasa,Aceptado,CR,[]
9684858,Cora putumayensis,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Hygrophoraceae,Cora,putumayensis,Aceptado,CR,[]
9735768,Cora quillacinga,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Hygrophoraceae,Cora,quillacinga,Aceptado,EN,[]
9731169,Cora rothesiorum,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Hygrophoraceae,Cora,rothesiorum,Aceptado,EN,[]
7434097,Cora setosa,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Hygrophoraceae,Cora,setosa,Aceptado,CR,[]
9818434,Cora udebeceana,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Hygrophoraceae,Cora,udebeceana,Aceptado,CR,[]
7550471,Cora undulata,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Hygrophoraceae,Cora,undulata,Aceptado,CR,[]
9686567,Cora verjonensis,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Hygrophoraceae,Cora,verjonensis,Aceptado,CR,[]
2555264,Lepidostroma calocerum,Fungi,Basidiomycota,Agaricomycetes,Cantharellales,Lepidostromataceae,Lepidostroma,calocerum,Aceptado,EN,"[(4.566637, -75.75012), (11.141773, -74.004719)]"
2555266,Multiclavula coronilla,Fungi,Basidiomycota,Agaricomycetes,Cantharellales,Hydnaceae,Multiclavula,coronilla,Aceptado,CR,"[(11.141773, -74.004719)]"
10759556,Sulzbacheromyces chocoensis,Fungi,Basidiomycota,Agaricomycetes,Lepidostromatales,Lepidostromataceae,Sulzbacheromyces,chocoensis,Aceptado,CR,[]
