,identificacion,nombre_cientifico,reino,filo,clase,orden,familia,genero,epiteto_especifico,estado_taxonomico,estado_de_amenaza,coordenadas,location_info,display_name,town,state_district,country,temperature,humidity
0,2431315,Bolitoglossa capitana,Animalia,Chordata,Amphibia,Caudata,Plethodontidae,Bolitoglossa,capitana,Válido,CR,"[(4.53148, -74.336), (4.53148, -74.336), (4.53148, -74.336), (4.53148, -74.336), (4.53148, -74.336), (4.53148, -74.336), (4.53148, -74.336), (4.89432, -74.44388), (4.89432, -74.44388)]","{'place_id': 298208485, 'licence': 'Data © OpenStreetMap contributors, ODbL 1.0. http://osm.org/copyright', 'osm_type': 'way', 'osm_id': 226275873, 'lat': '4.5322187', 'lon': '-74.3355989', 'class': 'highway', 'type': 'unclassified', 'place_rank': 26, 'importance': 0.10000999999999993, 'addresstype': 'road', 'name': '', 'display_name': 'Granada, Sumapaz, RAP (Especial) Central, Colombia', 'address': {'town': 'Granada', 'state_district': 'Sumapaz', 'region': 'RAP (Especial) Central', 'country': 'Colombia', 'country_code': 'co'}, 'boundingbox': ['4.5304486', '4.5355415', '-74.3377528', '-74.3213832']}","Granada, Sumapaz, RAP (Especial) Central, Colombia",Granada,Sumapaz,Colombia,13.892222222222223,84.11111111111111
1,9338198,Bolitoglossa guaneae,Animalia,Chordata,Amphibia,Caudata,Plethodontidae,Bolitoglossa,guaneae,Válido,VU,"[(5.617806, -73.956917), (5.617694, -73.956806), (5.617694, -73.956806), (5.617694, -73.956806), (5.617667, -73.956806), (5.617667, -73.956806), (5.617583, -73.956972), (5.617806, -73.956917), (5.617694, -73.956806), (5.617694, -73.956806), (5.617694, -73.956806), (5.617667, -73.956806), (5.617667, -73.956806), (5.617583, -73.956972), (5.617694, -73.956972), (5.617667, -73.956806), (5.617667, -73.956806), (5.617667, -73.956806), (5.617667, -73.956806), (5.617667, -73.956806), (5.617667, -73.956806), (5.617667, -73.956806), (5.617667, -73.956806), (5.617694, -73.956972), (5.617667, -73.956806), (5.617667, -73.956806), (4.54956, -74.308628), (4.596338, -74.309745), (4.476586, -74.360818), (6.16415, -73.18668), (6.16415, -73.18668), (6.16415, -73.18668), (6.016304, -73.162333), (6.117629, -73.148236)]","{'place_id': 298487144, 'licence': 'Data © OpenStreetMap contributors, ODbL 1.0. http://osm.org/copyright', 'osm_type': 'way', 'osm_id': 986423775, 'lat': '5.6181159', 'lon': '-73.957673', 'class': 'highway', 'type': 'unclassified', 'place_rank': 26, 'importance': 0.10000999999999993, 'addresstype': 'road', 'name': '', 'display_name': 'Llano Grande, Pauna, Occidente, Boyacá, RAP (Especial) Central, 154801, Colombia', 'address': {'hamlet': 'Llano Grande', 'county': 'Pauna', 'state_district': 'Occidente', 'state': 'Boyacá', 'ISO3166-2-lvl4': 'CO-BOY', 'region': 'RAP (Especial) Central', 'postcode': '154801', 'country': 'Colombia', 'country_code': 'co'}, 'boundingbox': ['5.6178597', '5.6194906', '-73.9578903', '-73.9566270']}","Llano Grande, Pauna, Occidente, Boyacá, RAP (Especial) Central, 154801, Colombia",,Occidente,Colombia,17.191470588235305,95.70588235294117
2,2431289,Bolitoglossa hiemalis,Animalia,Chordata,Amphibia,Caudata,Plethodontidae,Bolitoglossa,hiemalis,Válido,VU,"[(4.063167, -76.499361), (4.063167, -76.499361), (4.063167, -76.499361), (4.063167, -76.499361), (4.063167, -76.499361), (4.063167, -76.499361), (4.063167, -76.499361), (4.063167, -76.499361), (4.063167, -76.499361), (4.063167, -76.499361), (4.063167, -76.499361), (4.063167, -76.499361), (4.061361, -76.494583), (4.061361, -76.494583), (4.061361, -76.494583), (4.061361, -76.494583), (4.061361, -76.494583), (4.061361, -76.494583), (4.061361, -76.494583), (4.061361, -76.494583), (4.061361, -76.494583), (4.061361, -76.494583), (4.061361, -76.494583), (4.061361, -76.494583), (4.071306, -76.504806), (4.071306, -76.504806), (4.071306, -76.504806), (4.071306, -76.504806), (4.071306, -76.504806), (4.07872, -76.5113), (4.07872, -76.5113), (4.07872, -76.5113), (4.07872, -76.5113)]","{'place_id': 298065881, 'licence': 'Data © OpenStreetMap contributors, ODbL 1.0. http://osm.org/copyright', 'osm_type': 'relation', 'osm_id': 1473600, 'lat': '4.1071481', 'lon': '-76.38394225662913', 'class': 'boundary', 'type': 'administrative', 'place_rank': 12, 'importance': 0.34987195748066746, 'addresstype': 'county', 'name': 'Riofrío', 'display_name': 'Riofrío, Centro, Valle del Cauca, RAP Pacífico, Colombia', 'address': {'county': 'Riofrío', 'state_district': 'Centro', 'state': 'Valle del Cauca', 'ISO3166-2-lvl4': 'CO-VAC', 'region': 'RAP Pacífico', 'country': 'Colombia', 'country_code': 'co'}, 'boundingbox': ['4.0095921', '4.2042799', '-76.4994888', '-76.2443447']}","Riofrío, Centro, Valle del Cauca, RAP Pacífico, Colombia",,Centro,Colombia,6.780909090909089,97.0
3,2431296,Bolitoglossa hypacra,Animalia,Chordata,Amphibia,Caudata,Plethodontidae,Bolitoglossa,hypacra,Válido,EN,"[(6.453389, -76.099083), (6.453389, -76.099083), (6.453389, -76.099083), (6.453389, -76.099083), (6.453389, -76.099083), (6.453389, -76.099083), (6.453389, -76.099083), (6.453389, -76.099083), (6.453389, -76.099083), (6.453389, -76.099083), (6.453389, -76.099083), (6.453389, -76.099083), (6.453389, -76.099083), (6.453389, -76.099083), (6.453389, -76.099083), (6.50424, -76.03947), (6.50511, -76.03785), (6.50434, -76.03925), (6.50439, -76.03957), (6.50438, -76.0396), (6.50429, -76.03951), (6.50435, -76.03951), (6.50439, -76.03938), (6.50748, -76.03548), (6.50439, -76.03957), (6.50441, -76.03926), (6.50439, -76.03944), (6.50427, -76.03957), (6.50441, -76.03926), (6.50742, -76.03555), (6.50433, -76.03949), (6.50747, -76.03564), (6.50721, -76.03558), (6.50422, -76.03942), (6.50442, -76.03968), (6.50747, -76.03564), (6.50439, -76.03957), (6.50441, -76.03926), (6.50432, -76.03953), (6.50432, -76.03941), (6.50442, -76.03968), (6.50762, -76.03527), (6.5073, -76.03551), (6.50435, -76.03847), (6.50742, -76.03565), (6.50439, -76.03957), (6.50456, -76.0386), (6.50721, -76.03558), (6.5072, -76.03559), (6.5043, -76.03954), (6.50736, -76.03565), (6.52992, -76.03429), (6.50422, -76.03942), (6.524458, -76.03385), (6.50745, -76.03535), (6.50715, -76.03566), (6.52337, -76.03361), (6.50429, -76.03951), (6.52459, -76.03389), (6.53005, -76.03396), (6.52514, -76.03397), (6.52154, -76.03416), (6.50725, -76.03568), (6.53014, -76.03346), (6.5275, -76.03427), (6.52819, -76.03387), (6.52289, -76.03359), (6.52472, -76.03387), (6.52506, -76.03393), (6.53001, -76.03342), (6.52583, -76.03433), (6.51217, -76.03586), (6.52591, -76.03436), (6.5205, -76.03445), (6.504167, -76.039444), (6.504167, -76.039444), (6.504444, -76.038611), (6.507222, -76.035556), (6.507222, -76.035556), (6.524444, -76.033889), (6.524583, -76.033889), (6.524583, -76.033889), (6.524583, -76.033889), (6.524583, -76.033889), (6.44493, -76.08432), (6.44964, -76.08627), (6.44922, -76.08603), (6.44962, -76.08607), (6.4545, -76.08826), (6.44124, -76.08215), (6.45474, -76.08881), (6.44124, -76.08215), (6.45453, -76.08852), (6.4545, -76.08826), (6.44962, -76.08607), (6.44964, -76.08627), (6.45409, -76.08875), (6.45419, -76.08872), (6.44919, -76.08637), (6.44556, -76.08498), (6.45454, -76.08852), (6.45409, -76.08875), (6.44456, -76.08498), (6.45434, -76.08851), (6.45409, -76.08875), (6.44962, -76.08607), (6.45442, -76.08817), (6.44493, -76.08432), (6.49666, -76.05939), (6.44023, -76.0816), (6.45434, -76.08808), (6.44904, -76.08611), (6.44961, -76.08627), (6.44149, -76.08223), (6.44452, -76.084), (6.45435, -76.0881), (6.44451, -76.08395), (6.44456, -76.08403), (6.44916, -76.08624), (6.44143, -76.0822), (6.45434, -76.08808), (6.45424, -76.08812), (6.44915, -76.08609), (6.45431, -76.08802), (6.45448, -76.0881), (6.44965, -76.0862), (6.44911, -76.08593), (6.45444, -76.0881), (6.4545, -76.08821), (6.4491, -76.08617), (6.00729, -76.09964), (6.00563, -76.09863), (6.00959, -76.10052), (6.252222, -76.22725), (5.553611, -75.994667), (6.258785, -76.042626), (6.4819, -76.10831), (6.48226, -76.10799), (6.48239, -76.10796), (6.48239, -76.10796), (6.48244, -76.10827), (6.48211, -76.1082), (6.48228, -76.10798), (6.48228, -76.10798), (6.48244, -76.10822), (6.48244, -76.10822), (6.48244, -76.10822), (6.48244, -76.10822), (6.48244, -76.10822), (6.48244, -76.10822), (6.48244, -76.10822), (6.48244, -76.10822), (6.48196, -76.1083), (6.48244, -76.10822), (6.48212, -76.10828), (6.4536, -76.09078), (6.460421, -76.119801), (6.460421, -76.119801), (6.75973, -76.3061), (6.75973, -76.3061), (6.75973, -76.3061), (6.75973, -76.3061), (6.75973, -76.3061), (6.75973, -76.3061), (6.40548, -75.98244), (7.0, -75.5), (7.0, -75.5), (6.466667, -76.066667), (6.466667, -76.066667), (6.466667, -76.066667), (6.466667, -76.066667), (6.45172, -76.12422), (6.45172, -76.12422), (6.45172, -76.12422)]","{'place_id': 298122804, 'licence': 'Data © OpenStreetMap contributors, ODbL 1.0. http://osm.org/copyright', 'osm_type': 'way', 'osm_id': 480081063, 'lat': '6.4574296', 'lon': '-76.0958693', 'class': 'highway', 'type': 'path', 'place_rank': 27, 'importance': 0.07500999999999991, 'addresstype': 'road', 'name': 'Sendero a Campanas', 'display_name': 'Sendero a Campanas, Urrao, Suroeste, Antioquia, RAP del Agua y la Montaña, Colombia', 'address': {'road': 'Sendero a Campanas', 'town': 'Urrao', 'state_district': 'Suroeste', 'state': 'Antioquia', 'ISO3166-2-lvl4': 'CO-ANT', 'region': 'RAP del Agua y la Montaña', 'country': 'Colombia', 'country_code': 'co'}, 'boundingbox': ['6.4553529', '6.4624262', '-76.1316360', '-76.0887578']}","Sendero a Campanas, Urrao, Suroeste, Antioquia, RAP del Agua y la Montaña, Colombia",Urrao,Suroeste,Colombia,5.9427586206896645,97.03448275862068
4,9577531,Bolitoglossa leandrae,Animalia,Chordata,Amphibia,Caudata,Plethodontidae,Bolitoglossa,leandrae,Válido,CR,"[(4.86, -73.26), (4.86, -73.26), (4.15, -73.65)]","{'place_id': 298066345, 'licence': 'Data © OpenStreetMap contributors, ODbL 1.0. http://osm.org/copyright', 'osm_type': 'way', 'osm_id': 738376611, 'lat': '4.859564230417103', 'lon': '-73.26079845611025', 'class': 'highway', 'type': 'secondary', 'place_rank': 26, 'importance': 0.10000999999999993, 'addresstype': 'road', 'name': 'Marginal de la Selva', 'display_name': 'Marginal de la Selva, Santa María, Neira, Boyacá, RAP (Especial) Central, Colombia', 'address': {'road': 'Marginal de la Selva', 'town': 'Santa María', 'county': 'Santa María', 'state_district': 'Neira', 'state': 'Boyacá', 'ISO3166-2-lvl4': 'CO-BOY', 'region': 'RAP (Especial) Central', 'country': 'Colombia', 'country_code': 'co'}, 'boundingbox': ['4.8558123', '4.8597589', '-73.2611487', '-73.2603259']}","Marginal de la Selva, Santa María, Neira, Boyacá, RAP (Especial) Central, Colombia",Santa María,Neira,Colombia,19.136666666666667,95.0
5,2431259,Bolitoglossa pandi,Animalia,Chordata,Amphibia,Caudata,Plethodontidae,Bolitoglossa,pandi,Válido,EN,"[(5.089953, -74.382378), (5.037869, -74.374244), (5.05367, -74.54282), (5.05367, -74.54282), (5.05367, -74.54282), (5.05367, -74.54282), (5.05367, -74.54282), (5.05367, -74.54282), (5.05367, -74.54282), (5.06708, -74.54988), (5.06708, -74.54988), (5.06708, -74.54988), (5.06708, -74.54988), (5.06708, -74.54988), (5.06708, -74.54988), (5.06708, -74.54988), (5.06708, -74.54988), (5.06708, -74.54988), (5.06708, -74.54988), (5.06708, -74.54988), (5.06708, -74.54988), (5.06708, -74.54988), (5.06708, -74.54988), (5.05894, -74.56355), (5.059, -74.56361), (5.04441, -74.54222), (5.04441, -74.54222), (5.04441, -74.54222), (5.04441, -74.54222), (5.04441, -74.54222), (5.04441, -74.54222), (5.06166, -74.54172), (5.06166, -74.54172), (5.06166, -74.54172), (5.06166, -74.54172), (5.066944, -74.549972), (5.066944, -74.549972), (5.066944, -74.549972), (5.066944, -74.549972), (5.05497, -74.54697), (5.05497, -74.54697), (5.05497, -74.54697), (5.05497, -74.54697), (5.05344, -74.54633), (5.05344, -74.54633), (5.053333, -74.534722), (5.053333, -74.534722), (4.072203, -74.475992), (4.916667, -74.45), (5.002256, -74.280577)]","{'place_id': 299324466, 'licence': 'Data © OpenStreetMap contributors, ODbL 1.0. http://osm.org/copyright', 'osm_type': 'way', 'osm_id': 977087970, 'lat': '5.089677757291481', 'lon': '-74.38301768931588', 'class': 'highway', 'type': 'residential', 'place_rank': 26, 'importance': 0.10000999999999993, 'addresstype': 'road', 'name': '', 'display_name': 'Nocaima, Gualivá, RAP (Especial) Central, Colombia', 'address': {'town': 'Nocaima', 'state_district': 'Gualivá', 'region': 'RAP (Especial) Central', 'country': 'Colombia', 'country_code': 'co'}, 'boundingbox': ['5.0892530', '5.0928450', '-74.3832095', '-74.3804616']}","Nocaima, Gualivá, RAP (Especial) Central, Colombia",Nocaima,Gualivá,Colombia,15.360400000000006,96.68
6,9268523,Bolitoglossa tamaense,Animalia,Chordata,Amphibia,Caudata,Plethodontidae,Bolitoglossa,tamaense,Válido,EN,[],,,,,,,
7,2431290,Bolitoglossa tatamae,Animalia,Chordata,Amphibia,Caudata,Plethodontidae,Bolitoglossa,tatamae,Válido,EN,"[(5.472486, -75.903336), (5.256944, -76.111111), (5.2575, -76.110833), (5.2475, -76.098611), (5.247778, -76.098611), (5.222222, -76.079722), (5.222222, -76.079722), (5.2275, -76.098333), (5.133175, -76.010799), (5.082111, -76.021126), (5.082108, -76.021687), (5.082108, -76.021687), (5.082108, -76.021687), (5.082108, -76.021687), (5.082111, -76.021126)]","{'place_id': 382131531, 'licence': 'Data © OpenStreetMap contributors, ODbL 1.0. http://osm.org/copyright', 'osm_type': 'relation', 'osm_id': 1343033, 'lat': '5.4065243', 'lon': '-75.96360048247402', 'class': 'boundary', 'type': 'administrative', 'place_rank': 12, 'importance': 0.3014039505414435, 'addresstype': 'county', 'name': 'Mistrató', 'display_name': 'Mistrató, Vertiente Pacífico, Risaralda, RAP Eje Cafetero, Colombia', 'address': {'county': 'Mistrató', 'state_district': 'Vertiente Pacífico', 'state': 'Risaralda', 'ISO3166-2-lvl4': 'CO-RIS', 'region': 'RAP Eje Cafetero', 'country': 'Colombia', 'country_code': 'co'}, 'boundingbox': ['5.2447177', '5.5680411', '-76.0879389', '-75.8330068']}","Mistrató, Vertiente Pacífico, Risaralda, RAP Eje Cafetero, Colombia",,Vertiente Pacífico,Colombia,15.349333333333329,97.6
8,9545519,Bolitoglossa yariguiensis,Animalia,Chordata,Amphibia,Caudata,Plethodontidae,Bolitoglossa,yariguiensis,Válido,EN,"[(6.574167, -73.57275), (6.577611, -73.525889), (6.574167, -73.57275), (6.577611, -73.525889), (6.574167, -73.57275), (6.577611, -73.525889), (6.580222, -73.570083), (6.574167, -73.57275), (6.577611, -73.525889), (6.580222, -73.570083), (6.79435, -73.476755), (6.856863, -73.36068)]","{'place_id': 298607887, 'licence': 'Data © OpenStreetMap contributors, ODbL 1.0. http://osm.org/copyright', 'osm_type': 'node', 'osm_id': 703521989, 'lat': '6.5722149', 'lon': '-73.5656953', 'class': 'place', 'type': 'hamlet', 'place_rank': 20, 'importance': 0.25000999999999995, 'addresstype': 'hamlet', 'name': 'La Belleza', 'display_name': 'La Belleza, El Carmen de Chucurí, Yariguíes, Santander, RAP Gran Santander, Colombia', 'address': {'hamlet': 'La Belleza', 'town': 'El Carmen de Chucurí', 'state_district': 'Yariguíes', 'state': 'Santander', 'ISO3166-2-lvl4': 'CO-SAN', 'region': 'RAP Gran Santander', 'country': 'Colombia', 'country_code': 'co'}, 'boundingbox': ['6.5522149', '6.5922149', '-73.5856953', '-73.5456953']}","La Belleza, El Carmen de Chucurí, Yariguíes, Santander, RAP Gran Santander, Colombia",El Carmen de Chucurí,Yariguíes,Colombia,19.734999999999996,96.75
9,11539236,Hyloxalus cepedai,Animalia,Chordata,Amphibia,Anura,Dendrobatidae,Hyloxalus,cepedai,Válido,VU,"[(5.381886, -72.498194), (5.377915, -72.500739), (5.381431, -72.499065), (5.383978, -72.498702), (5.384069, -72.498494), (5.375788, -72.493021), (5.621827, -72.244624), (5.621827, -72.244624), (5.621827, -72.244624), (5.621827, -72.244624), (5.621827, -72.244624), (5.622351, -72.246183), (5.622351, -72.246183), (5.622427, -72.246361), (5.622427, -72.246361), (5.622427, -72.246361), (5.622427, -72.246361), (5.622427, -72.246361), (5.622427, -72.246361), (5.622427, -72.246361), (5.674119, -72.167131), (5.674119, -72.167131), (5.674119, -72.167131), (5.674119, -72.167131), (5.674119, -72.167131), (5.678426, -72.180602), (5.678426, -72.180602), (5.678426, -72.180602), (5.678426, -72.180602), (5.36882, -72.49305), (5.36381, -72.49453), (5.36085, -72.49831), (5.36292, -72.49863), (5.36292, -72.49863), (5.36545, -72.49512), (5.36221, -72.49605), (5.36465, -72.49784), (5.36292, -72.49863), (5.36221, -72.49699), (5.190106, -72.610127), (5.186184, -72.611418), (5.186184, -72.611418), (5.186184, -72.611418), (5.186184, -72.611418), (5.186184, -72.611418), (5.186184, -72.611418), (5.186184, -72.611418), (5.186184, -72.611418), (5.186184, -72.611418), (5.186184, -72.611418), (5.186184, -72.611418), (5.182833, -72.614265), (5.182833, -72.614265), (5.182833, -72.614265), (5.182833, -72.614265), (5.182833, -72.614265), (5.182833, -72.614265), (5.182833, -72.614265), (5.191358, -72.610199), (5.191358, -72.610199), (5.191358, -72.610199), (5.191358, -72.610199), (5.191358, -72.610199), (5.191358, -72.610199), (5.191358, -72.610199), (5.189773, -72.610169), (5.189773, -72.610169), (5.189773, -72.610169), (5.190274, -72.609913), (5.190274, -72.609913), (5.190274, -72.609913), (5.190274, -72.609913), (5.190274, -72.609913), (5.190274, -72.609913), (5.190274, -72.609913), (5.190274, -72.609913), (5.190274, -72.609913), (5.190274, -72.609913), (5.190274, -72.609913), (5.190274, -72.609913), (5.190274, -72.609913), (5.189996, -72.610399), (5.189996, -72.610399), (5.189996, -72.610399), (5.189996, -72.610399), (5.189996, -72.610399), (5.189615, -72.610266), (5.190215, -72.610077), (5.35956, -72.49839), (5.36453, -72.49852), (5.36114, -72.50076), (5.36441, -72.49733), (5.36096, -72.49693), (5.6025, -72.3411), (5.6014, -72.3458), (5.5547, -72.3365), (5.555, -72.3345), (5.497363, -72.386322), (5.495705, -72.393796), (5.490108, -72.414553), (5.486799, -72.414763), (5.486414, -72.414745), (5.441952, -72.470273), (5.443336, -72.46838), (5.519695, -72.377068), (5.521248, -72.380075), (5.496429, -72.388858), (5.497709, -72.388018), (5.487571, -72.408307), (4.991422, -72.710878), (5.231222, -72.627917), (5.231222, -72.627917), (5.2315, -72.628222), (5.2315, -72.628222), (5.229472, -72.624444), (5.231222, -72.628167), (5.231222, -72.628167), (5.2315, -72.628222), (5.2315, -72.628222), (5.229472, -72.624444), (5.231222, -72.627917), (5.231417, -72.6285), (5.211708, -72.620569), (5.219169, -72.617692), (5.21325, -72.601194), (5.225222, -72.626194), (5.225222, -72.626194), (5.607833, -72.30925), (5.011349, -72.706449), (4.991386, -72.711156), (5.389759, -72.48724), (4.509915, -72.720922), (4.833944, -73.147556), (4.833944, -73.147556), (4.833944, -73.147556), (4.191817, -73.72105), (4.967802, -73.381866), (4.5213, -73.3543), (5.396944, -72.4875), (6.381111, -71.916944), (6.381111, -71.918056)]","{'place_id': 298434183, 'licence': 'Data © OpenStreetMap contributors, ODbL 1.0. http://osm.org/copyright', 'osm_type': 'relation', 'osm_id': 11313242, 'lat': '5.3356662', 'lon': '-72.3936931', 'class': 'boundary', 'type': 'administrative', 'place_rank': 12, 'importance': 0.4135856402800571, 'addresstype': 'city', 'name': 'Yopal', 'display_name': 'Yopal, Casanare, RAP Llanos, Colombia', 'address': {'city': 'Yopal', 'state': 'Casanare', 'ISO3166-2-lvl4': 'CO-CAS', 'region': 'RAP Llanos', 'country': 'Colombia', 'country_code': 'co'}, 'boundingbox': ['4.9033517', '5.5710364', '-72.5827863', '-71.9388835']}","Yopal, Casanare, RAP Llanos, Colombia",,,Colombia,20.438936170212745,94.56028368794327
